targeting_type,type
Affinity Audiences,Banking & Finance
Affinity Audiences,Banking & Finance > Avid Investors
Affinity Audiences,Banking & Finance > Banks Online
Affinity Audiences,Beauty & Wellness
Affinity Audiences,Beauty & Wellness > Beauty Mavens
Affinity Audiences,Beauty & Wellness > Frequently Visits Salons
Affinity Audiences,Food & Dining
Affinity Audiences,Food & Dining > Coffee Shop Regulars
Affinity Audiences,Food & Dining > Cooking Enthusiasts
Affinity Audiences,Food & Dining > Cooking Enthusiasts > 30 Minute Chefs
Affinity Audiences,Food & Dining > Cooking Enthusiasts > Aspiring Chefs
Affinity Audiences,Food & Dining > Fast Food Cravers
Affinity Audiences,Food & Dining > Foodies
Affinity Audiences,Food & Dining > Frequently Dines Out
Affinity Audiences,Food & Dining > Frequently Dines Out > Diners by Meal
Affinity Audiences,Food & Dining > Frequently Dines Out > Diners by Meal > Frequently Eats Breakfast Out
Affinity Audiences,Food & Dining > Frequently Dines Out > Diners by Meal > Frequently Eats Dinner Out
Affinity Audiences,Food & Dining > Frequently Dines Out > Diners by Meal > Frequently Eats Lunch Out
Affinity Audiences,Home & Garden
Affinity Audiences,Home & Garden > Do-It-Yourselfers
Affinity Audiences,Home & Garden > Home Decor Enthusiasts
Affinity Audiences,Lifestyles & Hobbies
Affinity Audiences,Lifestyles & Hobbies > Art & Theater Aficionados
Affinity Audiences,Lifestyles & Hobbies > Business Professionals
Affinity Audiences,Lifestyles & Hobbies > Charitable Donors & Volunteers
Affinity Audiences,Lifestyles & Hobbies > Family-Focused
Affinity Audiences,Lifestyles & Hobbies > Family-Focused > Homeschooling Parents
Affinity Audiences,Lifestyles & Hobbies > Fashionistas
Affinity Audiences,Lifestyles & Hobbies > Frequently Attends Live Events
Affinity Audiences,Lifestyles & Hobbies > Green Living Enthusiasts
Affinity Audiences,Lifestyles & Hobbies > Nightlife Enthusiasts
Affinity Audiences,Lifestyles & Hobbies > Outdoor Enthusiasts
Affinity Audiences,Lifestyles & Hobbies > Pet Lovers
Affinity Audiences,Lifestyles & Hobbies > Pet Lovers > Cat Lovers
Affinity Audiences,Lifestyles & Hobbies > Pet Lovers > Dog Lovers
Affinity Audiences,Lifestyles & Hobbies > Shutterbugs
Affinity Audiences,Lifestyles & Hobbies > Thrill Seekers
Affinity Audiences,Media & Entertainment
Affinity Audiences,Media & Entertainment > Book Lovers
Affinity Audiences,Media & Entertainment > Comics & Animation Fans
Affinity Audiences,Media & Entertainment > Gamers
Affinity Audiences,Media & Entertainment > Gamers > Action Game Fans
Affinity Audiences,Media & Entertainment > Gamers > Adventure & Strategy Game Fans
Affinity Audiences,Media & Entertainment > Gamers > Casual & Social Gamers
Affinity Audiences,Media & Entertainment > Gamers > Driving & Racing Game Fans
Affinity Audiences,Media & Entertainment > Gamers >Esports Fans
Affinity Audiences,Media & Entertainment > Gamers >Fans of New & Upcoming Video Games
Affinity Audiences,Media & Entertainment > Gamers > Hardcore Gamers
Affinity Audiences,Media & Entertainment > Gamers > PC Gamers
Affinity Audiences,Media & Entertainment > Gamers > Roleplaying Game Fans
Affinity Audiences,Media & Entertainment > Gamers > Shooter Game Fans
Affinity Audiences,Media & Entertainment > Gamers > Sports Game Fans
Affinity Audiences,Media & Entertainment > Light TV Viewers
Affinity Audiences,Media & Entertainment > Movie Lovers
Affinity Audiences,Media & Entertainment > Movie Lovers > Action & Adventure Movie Fans
Affinity Audiences,Media & Entertainment > Movie Lovers > Comedy Movie Fans
Affinity Audiences,Media & Entertainment > Movie Lovers > Family Movie Fans
Affinity Audiences,Media & Entertainment > Movie Lovers > Fans of New & Upcoming Movies
Affinity Audiences,Media & Entertainment > Movie Lovers > Horror Movie Fans
Affinity Audiences,Media & Entertainment > Movie Lovers > Romance & Drama Movie Fans
Affinity Audiences,Media & Entertainment > Movie Lovers > Sci-Fi & Fantasy Movie Fans
Affinity Audiences,Media & Entertainment > Movie Lovers > South Asian Film Fans
Affinity Audiences,Media & Entertainment > Music Lovers
Affinity Audiences,Media & Entertainment > Music Lovers > Blues Fans
Affinity Audiences,Media & Entertainment > Music Lovers > Classical Music Enthusiasts
Affinity Audiences,Media & Entertainment > Music Lovers > Country Music Fans
Affinity Audiences,Media & Entertainment > Music Lovers > Electronic Dance Music Fans
Affinity Audiences,Media & Entertainment > Music Lovers > Folk & Traditional Music Enthusiasts
Affinity Audiences,Media & Entertainment > Music Lovers > Indie & Alternative Rock Fans
Affinity Audiences,Media & Entertainment > Music Lovers > Jazz Enthusiasts
Affinity Audiences,Media & Entertainment > Music Lovers > Metalheads
Affinity Audiences,Media & Entertainment > Music Lovers > Pop Music Fans
Affinity Audiences,Media & Entertainment > Music Lovers > Rap & Hip Hop Fans
Affinity Audiences,Media & Entertainment > Music Lovers > Rock Music Fans
Affinity Audiences,Media & Entertainment > Music Lovers > Spanish-Language Music Fans
Affinity Audiences,Media & Entertainment > Music Lovers > World Music Fans
Affinity Audiences,Media & Entertainment > TV Lovers
Affinity Audiences,Media & Entertainment > TV Lovers > Documentary & nonfiction TV Fans
Affinity Audiences,Media & Entertainment > TV Lovers > Family Television Fans
Affinity Audiences,"Media & Entertainment > TV Lovers > Game, Reality & Talk Show Fans"
Affinity Audiences,Media & Entertainment > TV Lovers > Sci-Fi & Fantasy TV Fans
Affinity Audiences,Media & Entertainment > TV Lovers > TV Comedy Fans
Affinity Audiences,Media & Entertainment > TV Lovers > TV Drama Fans
Affinity Audiences,News & Politics
Affinity Audiences,News & Politics > Avid News Readers
Affinity Audiences,News & Politics > Avid News Readers > Avid Business News Readers
Affinity Audiences,News & Politics > Avid News Readers > Avid Local News Readers
Affinity Audiences,News & Politics > Avid News Readers > Avid Political News Readers
Affinity Audiences,News & Politics > Avid News Readers > Avid World News Readers
Affinity Audiences,News & Politics > Avid News Readers > Entertainment News Enthusiasts
Affinity Audiences,News & Politics > Avid News Readers > Men's Media Fans
Affinity Audiences,News & Politics > Avid News Readers > Women's Media Fans
Affinity Audiences,Shoppers
Affinity Audiences,Shoppers > Bargain Hunters
Affinity Audiences,Shoppers > Luxury Shoppers
Affinity Audiences,Shoppers > Shopaholics
Affinity Audiences,Shoppers > Shoppers by Store Type
Affinity Audiences,Shoppers > Shoppers by Store Type > Convenience Store Shoppers
Affinity Audiences,Shoppers > Shoppers by Store Type > Department Store Shoppers
Affinity Audiences,Shoppers > Shoppers by Store Type > Grocery Shoppers
Affinity Audiences,Shoppers > Shoppers by Store Type > Superstore Shoppers
Affinity Audiences,Shoppers > Value Shoppers
Affinity Audiences,Sports & Fitness
Affinity Audiences,Sports & Fitness > Health & Fitness Buffs
Affinity Audiences,Sports & Fitness > Health & Fitness Buffs > Weightlifters
Affinity Audiences,Sports & Fitness > Health & Fitness Buffs > Yoga Lovers
Affinity Audiences,Sports & Fitness > Sports Fans
Affinity Audiences,Sports & Fitness > Sports Fans > American Football Fans
Affinity Audiences,Sports & Fitness > Sports Fans > Australian Football Fans
Affinity Audiences,Sports & Fitness > Sports Fans > Baseball Fans
Affinity Audiences,Sports & Fitness > Sports Fans > Basketball Fans
Affinity Audiences,Sports & Fitness > Sports Fans > Boating & Sailing Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Cricket Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Cycling Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Fight & Wrestling Fans
Affinity Audiences,Sports & Fitness > Sports Fans > Golf Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Hockey Fans
Affinity Audiences,Sports & Fitness > Sports Fans > Motor Sports Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Olympic fans
Affinity Audiences,Sports & Fitness > Sports Fans > Racquetball Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Rugby Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Running Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Skiing Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Soccer Fans
Affinity Audiences,Sports & Fitness > Sports Fans > Swimming Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Tennis Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Water Sports Enthusiasts
Affinity Audiences,Sports & Fitness > Sports Fans > Winter Sports Enthusiasts
Affinity Audiences,Technology
Affinity Audiences,Technology > Mobile Enthusiasts
Affinity Audiences,Technology > Social Media Enthusiasts
Affinity Audiences,Technology > Technophiles
Affinity Audiences,Technology > Technophiles > Audiophiles
Affinity Audiences,Technology > Technophiles > Cloud Services Power Users
Affinity Audiences,Technology > Technophiles > High-End Computer Aficionados
Affinity Audiences,Technology > Technophiles > Home Automation Enthusiasts
Affinity Audiences,Travel
Affinity Audiences,Travel > Business Travelers
Affinity Audiences,Travel > Travel Buffs
Affinity Audiences,Travel > Travel Buffs > Beachbound Travelers
Affinity Audiences,Travel > Travel Buffs > Family Vacationers
Affinity Audiences,Travel > Travel Buffs > Luxury Travelers
Affinity Audiences,Travel > Travel Buffs > Snowbound Travelers
Affinity Audiences,Vehicles & Transportation
Affinity Audiences,Vehicles & Transportation > Auto Enthusiasts
Affinity Audiences,Vehicles & Transportation > Auto Enthusiasts > Motorcycle Enthusiasts
Affinity Audiences,Vehicles & Transportation > Auto Enthusiasts > Performance & Luxury Vehicle Enthusiasts
Affinity Audiences,Vehicles & Transportation > Auto Enthusiasts > Truck & SUV Enthusiasts
Affinity Audiences,Vehicles & Transportation > Transportation Modes
Affinity Audiences,Vehicles & Transportation > Transportation Modes > Public Transit Users
Affinity Audiences,Vehicles & Transportation > Transportation Modes > Taxi Service Users
In-Market Audiences,Apparel & Accessories
In-Market Audiences,Apparel & Accessories > Activewear
In-Market Audiences,Apparel & Accessories>Backpacks
In-Market Audiences,Apparel & Accessories > Activewear > Running Apparel
In-Market Audiences,Apparel & Accessories > Activewear > Yoga Apparel
In-Market Audiences,Apparel & Accessories > Costumes
In-Market Audiences,Apparel & Accessories > Eyewear
In-Market Audiences,Apparel & Accessories > Eyewear > Eyeglasses & Contact Lenses
In-Market Audiences,Apparel & Accessories > Eyewear > Sunglasses
In-Market Audiences,Apparel & Accessories > Formal Wear
In-Market Audiences,Apparel & Accessories > Formal Wear > Bridal Wear
In-Market Audiences,Apparel & Accessories > Formal Wear > Suits & Business Attire
In-Market Audiences,Apparel & Accessories>Hats
In-Market Audiences,Apparel & Accessories > Handbags
In-Market Audiences,Apparel & Accessories > Jewelry & Watches
In-Market Audiences,Apparel & Accessories > Jewelry & Watches > Fine Jewelry
In-Market Audiences,Apparel & Accessories > Jewelry & Watches > Fine Jewelry > Necklaces
In-Market Audiences,Apparel & Accessories > Jewelry & Watches > Watches
In-Market Audiences,Apparel & Accessories > Jewelry & Watches > Wedding & Engagement Rings
In-Market Audiences,Apparel & Accessories > Lingerie
In-Market Audiences,Apparel & Accessories > Luggage
In-Market Audiences,Apparel & Accessories > Men's Apparel
In-Market Audiences,Apparel & Accessories > Outerwear
In-Market Audiences,Apparel & Accessories > Pants
In-Market Audiences,Apparel & Accessories > Shirts & Tops
In-Market Audiences,Apparel & Accessories > Shoes
In-Market Audiences,Apparel & Accessories > Shoes > Athletic Shoes
In-Market Audiences,Apparel & Accessories > Shoes > Boots
In-Market Audiences,Apparel & Accessories > Shoes > Dress Shoes
In-Market Audiences,Apparel & Accessories > Socks
In-Market Audiences,Apparel & Accessories > Swimwear
In-Market Audiences,Apparel & Accessories > Underwear
In-Market Audiences,"Apparel & Accessories > Wallets, Briefcases & Leather Goods"
In-Market Audiences,Apparel & Accessories > Women's Apparel
In-Market Audiences,Arts & Crafts Supplies
In-Market Audiences,Autos & Vehicles
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > Auto Exterior Parts & Accessories
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > Auto Interior Parts & Accessories
In-Market Audiences,Autos & Vehicles > Auto Parts & Accessories > Automotive Electronic Components
